S1	Live Animals; Animal Products
C88	Aircraft, spacecraft, and parts thereof
C89	Ships, boats and floating structures
S18	Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Clocks and Watches; Musical Instruments; Parts and Accessories Thereof
C90	Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof
C91	Clocks and watches and parts thereof
C92	Musical instruments; parts and accessories of such articles
S19	Arms and Ammunition; Parts and Accessories Thereof
C93	Arms and ammunition; parts and accessories thereof
S20	Miscellaneous Manufactured Articles
C94	Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings
C95	Toys, games and sports requisites; parts and accessories thereof
C96	Miscellaneous manufactured articles
S21	Works of Art, Collectors’ Pieces and Antiques
C97	Works of art, collectors’ pieces and antiques
98 Special classification provisions - non-commercial
C99 Special classification provisions - commercial
